,PFemale,file,height,width
0,0.0871985,1. 220px-chief_executive_%28magazine%29_cover_0.jpg,132,111
1,0.10076628,10. img_0703_0.jpg,123,103
2,0.56143606,10. img_0703_1.jpg,123,103
3,0.2081589,10. img_0703_10.jpg,124,103
4,0.043393057,10. img_0703_11.jpg,123,104
5,0.15187006,10. img_0703_12.jpg,132,112
6,0.09891653,10. img_0703_13.jpg,132,112
7,0.59298384,10. img_0703_14.jpg,123,103
8,0.6838243,10. img_0703_15.jpg,131,112
9,0.17592095,10. img_0703_2.jpg,132,111
10,0.04845453,10. img_0703_3.jpg,132,112
11,0.9622013,10. img_0703_4.jpg,132,112
12,0.8301381,10. img_0703_5.jpg,124,104
13,0.15023479,10. img_0703_6.jpg,132,111
14,0.09986584,10. img_0703_7.jpg,123,103
15,0.7242436,10. img_0703_8.jpg,124,103
16,0.12660086,10. img_0703_9.jpg,132,111
17,0.035629872,101. dsc2999_0.jpg,1736,1716
18,0.00070060795,103. vincent-badu_0.jpg,142,123
19,2.3918494e-05,104. 0_ferran-soriano-grad1_0.jpg,235,215
20,0.010039657,105. uda10541_0.jpg,209,189
21,0.0038468954,106. mick-laverty-ceo-extracare-charitable-trust_0.jpg,187,168
22,5.1529652e-05,107. niall-dickson-2_0.jpg,187,168
23,0.45870098,108. 3071443_vincent-de-rivaz-chief-executive-officer-edf_hinkley-point-c_0.jpg,146,150
24,0.007186397,109. alex-paterson-sept-2016-v2_0.jpg,170,150
25,0.99919194,11. agco_martin_richnehagen_award_1_0.jpg,879,858
26,0.25336984,110. g-mckenzie-res-1080x675_0.jpg,266,246
27,0.52310544,111. cx_0.jpg,347,328
28,0.57351255,112. img_0172_0.jpg,879,859
29,0.0015504052,113. 9244593_0.jpg,265,246
30,0.9977148,114. jasmine-oconnor-ceo-anti-slavery-banner-1_0.jpg,235,215
31,0.005466532,116. image_blue_rgb_0.jpg,155,135
32,0.097781524,117. page_1_thumb_large_0.jpg,132,112
33,0.4571589,118. image_0.jpg,209,189
34,6.305198e-05,118. image_1.jpg,209,189
35,0.020939479,119. gardiner-will-drax-4-copy-1024x583_0.jpg,234,215
36,0.013187418,120. nr18.06.254-1-1200_0.jpg,138,122
37,4.8644222e-05,121. ian%20trenholm%20b%20and%20w%20photo_0.jpg,126,135
38,0.06527069,122. pp-20181129083547463_0.jpg,303,283
39,0.00011062407,123. news_trevor_scott_and_logo_web_0.jpg,119,103
