,PFemale,file,height,width
0,0.87960404,10. hannonsandler-dentist-dental-plymouth-robbinsdale_plymouth-dentist-cosmetic-dentistry3_0.jpg,343,381
1,0.54085624,101. kids-dentistry-min-925x425_0.jpg,348,327
2,0.14783426,102. happy-dentist-best-friend_0.jpg,401,381
3,0.09832988,104. idp_2018_hero_0_0.jpg,235,215
4,2.979138e-05,104. idp_2018_hero_0_1.jpg,234,215
5,0.8909025,104. idp_2018_hero_0_2.jpg,266,246
6,0.9098662,104. idp_2018_hero_0_3.jpg,235,215
7,0.71378267,104. idp_2018_hero_0_4.jpg,209,189
8,0.7100803,104. idp_2018_hero_0_5.jpg,235,214
9,0.00017153886,104. idp_2018_hero_0_6.jpg,303,283
10,0.9287213,104. idp_2018_hero_0_7.jpg,209,189
11,0.91753924,104. idp_2018_hero_0_8.jpg,235,215
12,0.95308197,105. 0_woman-at-the-dentist_0.jpg,303,283
13,0.998628,107. dentistlady_0.jpg,170,149
14,0.96473217,108. cambridge-dentist_0.jpg,232,214
15,0.005827029,109. know-your-dentist_0.jpg,303,282
16,0.12775123,11. dentist-downingtown_0.jpg,347,328
17,0.53500533,112. handsomemalepatientlookingathisbeautifulsmilesittingatthedentaloffice_0.jpg,265,246
18,0.8384911,114. lnd_sedation_dentistry_0.jpg,132,112
19,0.00047391118,116. dentist_0.jpg,187,167
20,0.000106415944,117. your-dentist-in-katy_0.jpg,303,283
21,1.2605809e-05,118. male-dentist-female-patient_0.jpg,272,283
22,0.89884806,118. male-dentist-female-patient_1.jpg,188,167
23,0.09832098,119. birch%20meet%20the%20doc_0.jpg,143,135
24,0.06895584,119. birch%20meet%20the%20doc_1.jpg,123,104
25,4.525703e-05,12. visit-the-dentist_0.jpg,142,122
26,0.68514603,120. find-a-dentist-in-brooksville-672x372_0.jpg,209,189
27,1.9179697e-05,122. dr_guerra_colorado_springs_co_dentist_0.jpg,266,246
28,0.9997934,125. dentist_0.jpg,401,381
29,0.9940068,126. nhs-dentist-liverpool_13_0.jpg,156,149
30,0.3888678,126. nhs-dentist-liverpool_13_1.jpg,187,167
31,0.52770644,128. when-to-tell-the-dentist-you-are-pregnant_0.jpg,124,103
32,0.9994971,128. when-to-tell-the-dentist-you-are-pregnant_1.jpg,72,96
33,0.0006204504,132. john-1_0.jpg,303,283
34,0.5482372,134. man-dentist-chair-smiling-sl_0.jpg,446,445
35,0.000167012,137. meet-dr-barakat_0.jpg,135,135
36,0.94012403,138. corbridge-dentist_0000_shutterstock_148109624-1-300x300_0.jpg,235,215
37,0.5150543,14. ada-dentist-466x280_0.jpg,131,122
38,0.94024897,140. meet-mobile_0.jpg,170,150
39,0.97431767,143. cosmetic-img_0.jpg,143,134
40,0.13307075,144. dentist-and-patient_0.jpg,125,112
41,0.0068049305,146_0.jpg,234,214
42,0.87121314,147. header-2_0.jpg,303,283
43,0.17442009,148. img-find-dentist_0.jpg,166,149
44,0.694054,148. img-find-dentist_1.jpg,126,135
45,0.3030531,149. dentist-3_0.jpg,155,135
46,0.42585796,15. general-dentistry-rexburg-idaho_0.jpg,303,282
47,0.99125415,151. article_dentist_visit_20150817_0.jpg,154,134
48,0.47783884,153. woman-receieving-novocaine-anesthesia-from-dentist-during-operation_0.jpg,303,283
49,0.7369851,154. charlottesville-family-dentist_0.jpg,290,320
50,0.003987956,155. dentist-team-for-dentist-area-cropped-2_0.jpg,155,135
51,0.047951058,155. dentist-team-for-dentist-area-cropped-2_1.jpg,170,150
52,2.4395415e-05,155. dentist-team-for-dentist-area-cropped-2_2.jpg,155,135
53,0.45843714,155. dentist-team-for-dentist-area-cropped-2_3.jpg,155,135
54,0.0055978354,155. dentist-team-for-dentist-area-cropped-2_4.jpg,169,150
55,0.9041716,156. altrincham-dentist_0.jpg,401,381
56,0.8736249,158. pediatric_dentist_big_tooth_0.jpg,123,104
