,PFemale,file,height,width
0,0.21459858,1. 5-things-you-should-tell-your-hairdresser-1000x667_0.jpg,169,150
1,0.9998814,1. 5-things-you-should-tell-your-hairdresser-1000x667_1.jpg,209,189
2,0.79137194,10. hairdresser-blow-drying-female-customers-hair-in-hair-salon-723502385-5aa47fefa9d4f9003665480e_0.jpg,401,381
3,0.94020796,10. hairdresser-blow-drying-female-customers-hair-in-hair-salon-723502385-5aa47fefa9d4f9003665480e_1.jpg,348,328
4,0.79264677,101. tipping-hairdressers-a-breakdown-on-the-correct-etiquette-242951-fb.700x0c_0.jpg,169,149
5,0.027246606,104. about-scott-brown-hairdresser-uk_0.jpg,234,215
6,0.9994508,108. kisscc0-woman-cosmetics-hairdresser-encapsulated-postscrip-beautiful-girl-5b4d4e686f00e9.7814110015317930004547_0.jpg,303,283
7,0.44367188,109. image_0.jpg,188,167
8,0.6122767,11. 2f970faa00000578-3841646-image-m-12_1476637969114_0.jpg,303,200
9,0.9982934,110. kate-middleton-hair-hairdresser-amanda-cook-tucker-911768_0.jpg,209,189
10,0.7189353,111. london-hairdresser-of-the-year-nominee-karine-jackson-covent-garden_0.jpg,156,150
11,0.010779408,111. london-hairdresser-of-the-year-nominee-karine-jackson-covent-garden_1.jpg,158,129
12,0.99913245,114. hairdresser_0.jpg,170,150
13,0.37733644,114. hairdresser_1.jpg,187,167
14,0.96249753,115. hairdressing-360x293_0.jpg,116,96
15,0.4825735,116. hair-and-beauty-teaser-3-284521208_0.jpg,114,111
16,0.6965364,116. hair-and-beauty-teaser-3-284521208_1.jpg,109,103
17,0.8689941,116. hair-and-beauty-teaser-3-284521208_2.jpg,116,96
18,0.51478314,116. hair-and-beauty-teaser-3-284521208_3.jpg,116,96
19,0.37755245,116. hair-and-beauty-teaser-3-284521208_4.jpg,132,111
20,0.45141578,117. bbq03tu_0.jpg,155,135
21,0.9945496,118. hairdresser_0.jpg,131,111
22,0.9988955,119. v7bfcrilptow4iagejz6_0.jpg,187,167
23,0.98635703,12. x43348534_1-270x300_0.jpg,125,111
24,0.089053296,12. x43348534_1-270x300_1.jpg,132,107
25,0.6423067,120. hate-going-to-the-hairdresser-hair-salon_0.jpg,303,283
26,0.9721009,121. hair5-427x427_0.jpg,155,135
27,0.8068949,121. hair5-427x427_1.jpg,155,134
28,0.9995891,124. 4061148-studio-shot-of-hairdresser-and-young-woman-isolated-on-white_0.jpg,154,135
29,0.9209631,124. 4061148-studio-shot-of-hairdresser-and-young-woman-isolated-on-white_1.jpg,170,150
30,0.020266391,125. hairdressing-beauty-and-makeup-course-images_0.jpg,138,122
31,0.28957534,125. hairdressing-beauty-and-makeup-course-images_1.jpg,132,112
32,0.2504531,125. hairdressing-beauty-and-makeup-course-images_2.jpg,123,104
33,0.7284194,126. hub_hairdressing_and_beauty_copy_0.jpg,146,168
34,0.9989875,127. hairdressing-apprenticeship_0.jpg,170,167
35,0.84460866,127. hairdressing-apprenticeship_1.jpg,155,109
36,0.99146,131. aid719025-v4-728px-be-a-hairdresser-step-11_0.jpg,209,189
37,0.0013790703,131. aid719025-v4-728px-be-a-hairdresser-step-11_1.jpg,235,215
38,0.9658963,132. homepic9_0.jpg,209,189
39,0.98851585,132. homepic9_1.jpg,166,150
40,0.99724615,133. hair1_0.jpg,348,327
41,0.99931717,134. 61kkuqeuqtl._sy355__0.jpg,155,135
42,0.9984702,136. hairdresser-12_0.jpg,116,96
43,0.7143693,139. bodybuilding-hairdresser-235045_0.jpg,132,112
44,0.90215,14. hairdresser-illinois-shutterstock-650x434_0.jpg,198,189
45,0.8946325,141. haircut4_0.jpg,232,180
46,0.5713731,141. haircut4_1.jpg,132,111
47,0.88625944,145. jo-puttnam-hairdresser_0.jpg,170,150
