,PFemale,file,height,width
0,0.9962956,1. shutterstock_778139473.0_0.jpg,209,189
1,0.31568414,10. image_0.jpg,348,328
2,0.9985987,10. image_1.jpg,116,96
3,0.99970615,100. featured-for-sherri-blog_0.jpg,155,135
4,1.12511125e-05,101. result-3-57ae231d3df78cd39c9bf2e2_0.jpg,170,149
5,0.8463961,102. 9780241330234_0.jpg,142,122
6,0.73898417,104. blog-banner-image-1000x250-arapahoe-libraries_0.jpg,117,122
7,0.528957,104. blog-banner-image-1000x250-arapahoe-libraries_1.jpg,108,112
8,0.074766025,105. hqdefault_0.jpg,155,135
9,0.7731951,105. hqdefault_1.jpg,142,122
10,0.99402654,106. jpeg_0.jpg,187,167
11,0.5750461,107. screen-shot-2017-09-29-at-3.42.56-pm-998x664_0.jpg,187,167
12,1.872532e-05,109. librarian-action-figure-card-back_800x_0.jpg,123,103
13,0.20099565,109. librarian-action-figure-card-back_800x_1.jpg,116,96
14,0.27136996,11. joe-cortale-greenport-librarian-1130_0.jpg,182,168
15,0.01939212,111. 500_chrispresslermanchester-382670_0.jpg,187,167
16,0.9946904,112. 3570e112-9073-4e0f-a42e-aaa10c4eb9dc_0.jpg,209,189
17,0.9942277,114. catherine_44_1_0.jpg,123,103
18,0.9979041,116. annerkenney460_0.jpg,234,214
19,0.9894756,117. services-ask-a-librarian-content-banner_0.jpg,182,168
20,0.65034425,118. librarian-secrets-assisting_0.jpg,209,189
21,0.81081945,12. screen-shot-2013-10-17-at-3-12-10-pm_0.jpg,132,112
22,0.25956348,120. typical_librarian_0.jpg,132,111
23,0.4508761,121. _104971961_ladd_0.jpg,187,168
24,0.23249188,124. 99120101181_primarislibrarian01_0.jpg,142,122
25,0.35367233,125. 44dd2cb300000578-4934052-cambridgeport_elementary_school_librarian_liz_phipps_soeiro_dres-a-11_1506719686457_0.jpg,155,135
26,0.038574614,126. 9589597_0.jpg,170,149
27,0.4546702,129. librarianhelp_awatfpkdesk_v2_400x300px_0.jpg,154,135
28,0.55000687,13. never-tell-librarian-feat_0.jpg,155,134
29,0.95710725,131. ask%20page_0.jpg,188,167
30,0.99977523,132. whiteheadheadshot16square_0.jpg,155,134
31,0.9874037,134. kathryn_0.jpg,187,168
32,0.9997366,135. michelle-harris-640x300_0.jpg,102,134
33,0.0049353875,139. graeme-boyd1opt_0.jpg,142,122
34,0.023847165,14. librarian_istock_trish233_900_0.jpg,170,150
35,0.92482966,140. shutterstock_261553724_master_0.jpg,266,246
36,0.9829,141. blinthwaite%20720x400_0.jpg,234,214
37,4.5088705e-06,143. jeff-mcadams-photo_0.jpg,187,168
38,0.5086361,144. librarian-story-time-1_0.jpg,142,123
39,0.08111413,146. highest-paying-careers-librarian_0.jpg,134,167
40,0.10576914,146. highest-paying-careers-librarian_1.jpg,142,122
41,0.9931793,146. highest-paying-careers-librarian_2.jpg,131,122
42,0.9979833,147. tammy-2-parks-and-rec-2_0.jpg,155,135
43,0.66732204,148. 36383125_0.jpg,123,103
44,0.9710907,15. shushing-the-librarian-stereotype-web_0.jpg,142,122
45,0.98485774,15. shushing-the-librarian-stereotype-web_1.jpg,155,135
46,0.6622344,150. 99800101038_chieflibrariantiguriusnew01_0.jpg,143,122
47,0.9893948,151. librarian-picture-110581-74005_0.jpg,266,246
48,0.15856917,152. tnreasons_0.jpg,116,96
49,0.23731048,155. img_3245_0.jpg,543,522
50,0.9985259,158. book-a-librarian_0.jpg,120,112
51,0.9948374,159. x24-ny-libraries-john-f-kennedy-educational-complex-librarian-600_0.jpg,100,96
52,0.99873036,16. maxresdefault_0.jpg,266,246
53,2.1784643e-05,160. story_main_0.jpg,155,134
54,0.29243368,160. story_main_1.jpg,155,118
55,0.52599275,161. 5bb628a72200005700dcb139._0.jpg,123,103
56,0.9999094,162. 1481660489612_0.jpg,188,168
57,0.9911636,163. newlibrarian_0.jpg,188,167
58,0.5235251,163. newlibrarian_1.jpg,187,167
59,0.99710864,164. 600pxlibrarian_0.jpg,151,135
60,0.06144936,168. aid45496-v4-728px-become-a-librarian-step-05_0.jpg,209,189
61,0.9929002,169. uriv6l35_400x400_0.jpg,187,168
62,0.7278543,171. teacherlibrarian_0.jpg,265,245
63,0.1935281,171. teacherlibrarian_1.jpg,132,112
64,0.9905071,171. teacherlibrarian_2.jpg,116,96
65,0.99191856,171. teacherlibrarian_3.jpg,132,112
66,0.008738855,171. teacherlibrarian_4.jpg,123,103
