,PFemale,file,height,width
0,0.001575072,1. 14-misconceptions_0.jpg,155,135
1,0.7946498,100. truck-drivers-comp_600x400._0.jpg,123,103
2,0.32957202,101. 9685026-3x2-700x467_0.jpg,170,150
3,0.00015678973,102. btn_owneroperator_500x500_0.jpg,123,103
4,1.3414664e-05,105. 3-important-things-all-new-truck-drivers-need-to-know-810x540_0.jpg,187,167
5,0.76700044,106_0.jpg,187,167
6,0.5953517,107. young-truck-driver_0.jpg,170,149
7,0.9988562,109. 862b45865d7e52a60a26f68934d-600x414_0.jpg,116,96
8,0.00046718464,109. 862b45865d7e52a60a26f68934d-600x414_1.jpg,154,135
9,0.98752326,11. female-carrier-smiling-1_0.jpg,266,246
10,0.60535085,112. e08g1619-1024x683_0.jpg,170,150
11,0.34592992,113. truck-driving-jobs_0.jpg,170,149
12,0.23005673,113. truck-driving-jobs_1.jpg,123,94
13,0.4828001,115. truck%20driver-5_0.jpg,635,614
14,0.0037466376,116. truck-driving-training-school-courses-cet_0.jpg,209,189
15,0.08446039,116. truck-driving-training-school-courses-cet_1.jpg,155,135
16,0.37668672,117. img_7583-for-web_0.jpg,170,149
17,0.03301436,119. bc6d4451-c36c-4063-995f-04d0af8f3eeb-truck_driver_training_0.jpg,116,96
18,0.0039333217,12. 2016-truck-driver-shortage-statistics_0.jpg,235,215
19,0.99768466,120. walking_driver_woman_0.jpg,151,134
20,0.23545241,124. abco_career-goals-for-a-truck-driver-in-2017_hero_0.jpg,154,135
21,0.05699297,126. truck-driver-school_0.jpg,169,150
22,0.028276438,127. depositphotos_144197093-stock-photo-truck-driver-taking-notes_0.jpg,235,215
23,0.9922684,13. img_5035-1024x576_0.jpg,142,122
24,0.03360977,133. income-protection-insurance-for-short-haul-truck-drivers-1_0.jpg,124,122
25,0.30000407,134. truck-drivers-700x294_0.jpg,116,96
26,0.008294215,135. rightbar-photo-2_0.jpg,142,122
27,0.2656023,136. c1d39168-f439-4eb1-8535-304324c3dfe4-missingguyarmoredvan_0.jpg,188,168
28,0.0076818108,137. e08g1754-1024x683_0.jpg,155,135
29,0.026567757,139. mature-truck-driver-standing-in-front-of-grain-truck-portrait-picture-id200013543-001_0.jpg,169,150
30,0.99912465,141. rhonda-hartman-american-trucking-associations-road-team_0.jpg,170,150
31,0.87192124,144. ontario-truck-driver-licence-300x200_0.jpg,116,96
32,0.69658107,145. 629737-33399b8e-ef9a-11e2-a799-ec5c9dace08a_0.jpg,142,122
33,0.000937263,147. truck-driver-by-truck_0.jpg,170,149
34,0.016847882,148. drivewithnats-foto-730x1024_0.jpg,209,189
35,0.61127955,149. depositphotos_82376864-stock-photo-forwarder-or-truck-driver-in_0.jpg,188,168
36,0.0040430026,15. istock_000021589134_large_0.jpg,348,327
37,0.32145947,150. driver_0.jpg,155,135
38,0.9699192,152. truck-driver-standing-outside-of-tractor-trailer-picture-id85644101_0.jpg,123,103
39,0.0019157598,155. professional_truck_drivers_0.jpg,116,96
40,0.0024114433,16. bigstock-female-driver-near-big-modern--167537351__1_-dmid1-5g6zt6bu9-640x360_0.jpg,124,103
41,0.050626107,160. big-tall-intro-img_0.jpg,132,112
42,0.00042620167,162. homepage_driverlarge_0.jpg,235,214
43,0.81683016,164. bradley-esco-300x200_0.jpg,116,96
44,0.29678705,165. mfg3py5xssn6dk3sd90_0.jpg,166,150
45,0.37604654,165. mfg3py5xssn6dk3sd90_1.jpg,128,112
46,7.539145e-05,17. cdl-a-truck-driver-300x336_0.jpg,125,112
47,0.0003414545,176. p47nhujvuoew79dbf3or_0.jpg,209,189
48,0.019848263,179. feature-driver2_0.jpg,132,112
49,0.003163192,191. cyclist-and-lorry-copyright-simon-macmichael-1_0.jpg,155,135
50,0.016501456,2. shutterstock_704626036_0.jpg,170,150
51,0.03140631,20. truck%20driver_0.jpg,123,103
52,0.025156027,201. msrmxnj6ehcf7wanhlxx_0.jpg,143,122
53,0.1542976,202. rendering%20truck%20driver_0.jpg,138,122
54,0.07661459,206. maxresdefault_0.jpg,209,189
55,0.37341303,22. cdl-truck-driver_0.jpg,142,123
56,0.05024756,222. 5bb6a2b3f19fc.image_0.jpg,401,378
57,0.005016721,224. roehl_fb_ads_2_0.jpg,266,246
58,0.00065829256,225. 161110_vanmag_busters_0290-copy-2-2_0.jpg,303,283
59,0.073599234,227. yourdriversaresomeofyourbestassets_0.jpg,266,246
60,0.82197046,229. sorrells-img_2995-630x473_0.jpg,154,134
61,0.006424212,23. istock_000020119724medium_0.jpg,170,150
62,0.016611751,23. istock_000020119724medium_1.jpg,188,167
63,8.2929866e-05,249. satterfield_0.jpg,225,214
64,0.06607108,25. mlwuygxeciz45e5bl6i76jqxvm_0.jpg,187,167
65,0.949262,259. common-background-checks_0.jpg,125,112
66,0.49228588,26. image_0.jpg,209,189
67,0.4721028,266. maxresdefault_0.jpg,169,149
68,0.7640996,27. truck_cleanedsm_0.jpg,132,112
69,0.12284951,27. truck_cleanedsm_1.jpg,132,112
70,0.11575396,270. 00019094_0.jpg,170,150
71,0.41278964,272. truck-driver-dad-men-s-t-shirt_0.jpg,187,168
72,0.027770635,273. handsome-truck-driver-35581649_0.jpg,303,283
73,0.14239602,274. 5f2ee583-7be0-460b-b75f-469be72565a4-large16x9_stephenfarmer_0.jpg,188,167
74,0.99663055,283. 635996356581600492-crash-death_0.jpg,303,283
75,0.07462012,296. mack-1024x992_0.jpg,401,381
76,0.00017651278,298. 635997053315113991-johnathan-horton_0.jpg,170,150
