,PFemale,file,height,width
0,0.9935905,1. mental-health-counselor-feature_1320w_jr-1_0.jpg,209,189
1,0.0069619925,10. bigstock-middle-aged-man-having-counsel-91396970-300x200_0.jpg,108,112
2,7.931676e-05,100. 141337-1164643-2_320x400_0.jpg,187,168
3,0.99996644,102. 1535504433_0.jpg,169,149
4,0.99981976,102. 1535504433_1.jpg,155,135
5,0.8053937,102. 1535504433_2.jpg,155,134
6,0.9005726,103. 2_hscw_2018_625362_7_0.jpg,158,167
7,0.014240851,103. 2_hscw_2018_625362_7_1.jpg,123,103
8,0.9978508,103. 2_hscw_2018_625362_7_2.jpg,135,135
9,0.19283023,103. 2_hscw_2018_625362_7_3.jpg,116,75
10,0.80444586,103. 2_hscw_2018_625362_7_4.jpg,143,123
11,0.67319345,103. 2_hscw_2018_625362_7_5.jpg,155,97
12,0.8298155,103. 2_hscw_2018_625362_7_6.jpg,116,96
13,0.9988228,104. istock_000045551648_xxxlarge_0.jpg,187,167
14,0.9998785,105. counselor-ed-highlights-personalize-ed-final_0.jpg,142,122
15,0.059054457,105. counselor-ed-highlights-personalize-ed-final_1.jpg,132,67
16,0.89533395,106. 165074-1022584-2_320x400_0.jpg,183,189
17,0.2721745,108. school_counselor_0.jpg,170,149
18,0.10928062,11. become-school-guidance-counselor_0.jpg,170,150
19,0.089569725,111. maxresdefault_0.jpg,347,328
20,0.4167162,111. maxresdefault_1.jpg,303,271
21,0.6069201,111. maxresdefault_2.jpg,303,283
22,0.012483127,115. 227291-775023-3_320x400_0.jpg,187,168
23,0.9361231,117. 24463a0d-ee6a-47af-8452-3d78cbb19ca7-lynn_starkey_0.jpg,303,283
24,0.9491781,119. image_0.jpg,187,168
25,0.0015912261,120. 175467-1231758-2_320x400_0.jpg,132,112
26,0.020963527,122. counselor-ed-highlights-community-engaged-final_0.jpg,142,122
27,0.9997972,122. counselor-ed-highlights-community-engaged-final_1.jpg,132,112
28,0.0758593,123. camp-counselors-app-2018-1024x418_0.jpg,155,134
29,4.1916766e-05,123. camp-counselors-app-2018-1024x418_1.jpg,126,135
30,0.028773148,123. camp-counselors-app-2018-1024x418_2.jpg,169,150
31,0.033947866,123. camp-counselors-app-2018-1024x418_3.jpg,155,134
32,0.9181749,123. camp-counselors-app-2018-1024x418_4.jpg,154,135
33,0.79830205,123. camp-counselors-app-2018-1024x418_5.jpg,154,135
34,0.7767655,127. camp-counselor-plays-guitar_0.jpg,123,104
35,0.99726707,127. camp-counselor-plays-guitar_1.jpg,116,96
36,0.9980934,127. camp-counselor-plays-guitar_2.jpg,116,96
37,0.7869341,127. camp-counselor-plays-guitar_3.jpg,142,123
38,0.9988427,127. camp-counselor-plays-guitar_4.jpg,116,96
39,0.417811,127. camp-counselor-plays-guitar_5.jpg,116,96
40,0.987181,128. lcsd-counselor_0.jpg,209,189
41,0.866666,129. 117775-999660-2_320x400_0.jpg,209,189
42,2.580718e-07,133. staff-hero_0_0.jpg,209,189
43,0.8791355,133. staff-hero_0_1.jpg,187,168
44,0.9997156,133. staff-hero_0_2.jpg,169,149
45,0.23995867,133. staff-hero_0_3.jpg,209,189
46,0.8805874,133. staff-hero_0_4.jpg,187,168
47,0.00047756894,135. dustin-scott-counselor-225x300_0.jpg,155,135
48,0.9873956,136. maxresdefault_0.jpg,265,246
49,0.8689469,136. maxresdefault_1.jpg,347,328
50,0.9275893,136. maxresdefault_2.jpg,348,320
51,0.47210026,136. maxresdefault_3.jpg,303,282
52,0.15775219,136. maxresdefault_4.jpg,303,283
53,0.99742347,137. anna%20resized_0.jpg,154,135
54,0.46721998,138. counselor-header_0.jpg,142,122
55,8.81443e-06,138. counselor-header_1.jpg,182,168
56,0.9470766,14. 155428619_0.jpg,879,859
57,0.9711956,140. counselor_page_image_0.jpg,143,122
58,0.99890536,140. counselor_page_image_1.jpg,142,122
59,0.06048928,140. counselor_page_image_2.jpg,154,134
60,0.2756582,140. counselor_page_image_3.jpg,142,122
61,0.0020490498,142. img_8210-685x400_0.jpg,142,122
62,0.9754079,142. img_8210-685x400_1.jpg,155,135
63,0.98600847,142. img_8210-685x400_10.jpg,170,149
64,0.42005906,142. img_8210-685x400_2.jpg,132,112
65,0.9994184,142. img_8210-685x400_3.jpg,89,122
66,0.33499247,142. img_8210-685x400_4.jpg,169,150
67,0.25077358,142. img_8210-685x400_5.jpg,170,132
68,0.56759334,142. img_8210-685x400_6.jpg,169,150
69,0.3403678,142. img_8210-685x400_7.jpg,155,101
70,0.9996518,142. img_8210-685x400_8.jpg,110,122
71,0.43382135,142. img_8210-685x400_9.jpg,154,135
72,0.99881,144. 209798-698394-3_320x400_0.jpg,266,246
73,0.8082116,145. counselorwebsiteheader_0.jpg,100,79
74,0.4533437,145. counselorwebsiteheader_1.jpg,108,96
75,0.5327435,146. counselor-workshop_0_0.jpg,126,149
76,0.99314755,147. 22_0.jpg,209,189
77,0.1102375,152. 112494-1079414-2_320x400_0.jpg,155,135
78,0.39984238,153. junior-counselor-content-header-2_0.jpg,266,246
79,0.87919223,154. meleia-sides-child-counselor_0.jpg,142,122
80,0.9961262,155. kirsten%20perry%20scoy%201080x1080%20(ig)_0.jpg,266,246
81,0.9995443,156. conners_katie3_0.jpg,465,445
82,0.42709222,157. alcohol_counselor_0.jpg,155,134
83,0.9990662,159. secondary-graduate-student_0.jpg,131,111
84,0.1960474,16. school-counselor-blog042017_0.jpg,155,135
85,8.24455e-06,16. school-counselor-blog042017_1.jpg,170,149
86,0.5130006,16. school-counselor-blog042017_2.jpg,170,117
87,0.9941708,162. header3-1024x418_0.jpg,123,104
88,0.61889374,162. header3-1024x418_1.jpg,132,112
89,0.7822865,162. header3-1024x418_2.jpg,132,112
90,0.9951261,164. maxresdefault_0.jpg,303,283
91,0.82114685,164. maxresdefault_1.jpg,303,283
92,0.07139411,165. robert-coffman-jr_0.jpg,634,615
93,0.99986047,166. istock_54253590_medium_0.jpg,166,150
94,0.9991907,167. michelle_oliva_0.jpg,187,168
95,8.5597996e-05,169. counselor-bcarpenter_0.jpg,209,189
96,0.048636768,170. psych33-compressor_0.jpg,303,283
97,0.4131949,171. img_4152._0.jpg,131,112
98,0.7256996,172. 390344-1336017-2_320x400_0.jpg,187,168
99,0.89141625,173. orig_photo638123_5447726_0.jpg,252,246
100,0.6755281,173. orig_photo638123_5447726_1.jpg,155,134
101,0.8472158,174. 286133_kjiz9wiq_0.jpg,266,246
102,0.016139667,175. gettyimages-476224040_0.jpg,131,111
103,0.35325807,175. gettyimages-476224040_1.jpg,132,112
104,0.10535364,175. gettyimages-476224040_2.jpg,120,112
105,0.38910475,176. cropped-2dangottliebnewwebheader1200x400_0.jpg,142,123
106,0.7207377,176. cropped-2dangottliebnewwebheader1200x400_1.jpg,169,149
107,0.93364716,178. capella-addiction_0.jpg,116,96
108,0.24398217,178. capella-addiction_1.jpg,123,85
109,0.24302971,182. maxresdefault_0.jpg,303,283
110,0.99736387,185. counselor-saufman_0.jpg,187,168
111,0.6825221,186. audrey_headshot_320x400_0.jpg,303,271
112,0.9230197,187. 315323-1241484-2_320x400_0.jpg,265,246
113,0.6020862,191. con1_0.jpg,138,122
114,0.9070656,193. cropped-playtherapycod05ar05ap01zl-madison5a-1_0.jpg,169,149
115,0.1515817,197. 117569-366827-3_320x400_0.jpg,235,215
116,0.9983059,2. gettyimages-668440484_0.jpg,109,103
117,0.003149916,20. istock_000012143104xsmall_0.jpg,120,112
118,0.52111286,200. pinker1_0.jpg,123,103
119,0.19401705,200. pinker1_1.jpg,170,150
120,7.1950367e-06,200. pinker1_2.jpg,116,96
121,0.49181062,200. pinker1_3.jpg,142,122
122,0.99842966,205. counselor-jkosty_0.jpg,187,168
123,0.16477439,207. 1200x630bb_0.jpg,132,112
124,0.9994518,21. 79166534_0.jpg,138,122
125,0.830325,212. 204614-309540-2_320x400_0.jpg,266,246
126,0.3727479,217. hqdefault_0.jpg,131,112
127,0.9989111,220. 162392-457252-2_320x400_0.jpg,348,320
128,6.139442e-05,225. 301882-931068-2_320x400_0.jpg,266,246
129,0.9977986,226. 320735-1314730-2_320x400_0.jpg,234,215
130,0.8381549,228. 272983-541630-2_320x400_0.jpg,235,214
131,0.65255016,229. 142121-256798-3_320x400_0.jpg,187,168
132,0.0021067113,23. counselor%20image%201_0_0.jpg,156,150
