,PFemale,file,height,width
0,0.055766206,1. air-stewardess_0.jpg,142,122
1,0.15878259,10. flightatt_0.jpg,155,135
2,0.9646559,101. write-for-i-heart-cabin-crew_0.jpg,303,283
3,0.16766167,102. 57e55d32b0ef976d008b7cb1-750-563_0.jpg,187,167
4,0.024954882,103. 98911-flightattendantskincar_0.jpg,138,122
5,0.842181,104. 636123957401675346-29766372603-f7526309f5-o_0.jpg,100,96
6,0.4416883,105. 5a73662846a288b3068b466a-1136-568_0.jpg,131,112
7,0.08466826,105. 5a73662846a288b3068b466a-1136-568_1.jpg,132,111
8,0.23946767,105. 5a73662846a288b3068b466a-1136-568_2.jpg,131,112
9,0.730479,105. 5a73662846a288b3068b466a-1136-568_3.jpg,143,135
10,0.39072913,105. 5a73662846a288b3068b466a-1136-568_4.jpg,132,112
11,0.74880993,105. 5a73662846a288b3068b466a-1136-568_5.jpg,132,111
12,0.48212147,105. 5a73662846a288b3068b466a-1136-568_6.jpg,132,112
13,0.16426437,105. 5a73662846a288b3068b466a-1136-568_7.jpg,132,112
14,0.14375909,106. 1482276377842-1_0.jpg,155,134
15,0.087151274,106. 1482276377842-1_1.jpg,143,122
16,0.20583229,106. 1482276377842-1_2.jpg,142,122
17,0.96772367,106. 1482276377842-1_3.jpg,156,150
18,0.37090808,107. we-love-our-flight-attendants_0.jpg,188,167
19,0.9771024,107. we-love-our-flight-attendants_1.jpg,198,189
20,0.9997257,108. flight-attendant-640x230_0.jpg,146,168
21,0.12121858,109. flight-attendant-phone_0.jpg,542,522
22,0.44598255,11. cabin-crew_0.jpg,116,96
23,0.80475456,110. flight-attendant_0.jpg,401,381
24,0.3979891,112. n8small_flight-attendant-mid-air-fashion-show-2018_0.jpg,170,150
25,0.37087446,114. see%20your%20career%20soar%20as%20a%20flight%20attendant-1524468752866_0.jpg,151,135
26,0.022126568,116. hk-fa-training_0.jpg,123,103
27,0.28029615,116. hk-fa-training_1.jpg,116,96
28,0.41849813,118. flight-attendants-7_0.jpg,303,283
29,0.03624501,12. 1140-flight-attendant-wish-they-could-say.imgcache.rev489c2d8fbd49bd7e5c71b433ba58a9a4_0.jpg,187,167
30,0.069850795,120. 17373_fit512_0.jpg,155,135
31,0.9238451,122. stories_portrait-rosanna-zetterer-neu-02_0.jpg,465,445
32,0.99985445,123. cover_flightattendants_0.jpg,266,246
33,0.0047134524,124. monster-children-flight-attendant-1068x571_0.jpg,123,103
34,0.5961879,124. monster-children-flight-attendant-1068x571_1.jpg,116,96
35,0.2270863,124. monster-children-flight-attendant-1068x571_2.jpg,116,96
36,0.97257394,124. monster-children-flight-attendant-1068x571_3.jpg,123,104
37,0.6283483,125. istock_000017868252xsmall_0.jpg,116,96
38,0.49172735,125. istock_000017868252xsmall_1.jpg,123,103
39,0.9992263,127. 645953420_0.jpg,401,381
40,0.7210628,127. 645953420_1.jpg,465,445
41,0.7581102,127. 645953420_2.jpg,401,381
42,2.4735666e-05,13. portrait-of-the-crew-of-an-airplane-bldcb0408cpb_0308-5988ebf39abed500107b910f_0.jpg,401,381
43,0.9062177,13. portrait-of-the-crew-of-an-airplane-bldcb0408cpb_0308-5988ebf39abed500107b910f_1.jpg,401,381
44,0.79434,13. portrait-of-the-crew-of-an-airplane-bldcb0408cpb_0308-5988ebf39abed500107b910f_2.jpg,347,328
45,0.12617643,13. portrait-of-the-crew-of-an-airplane-bldcb0408cpb_0308-5988ebf39abed500107b910f_3.jpg,543,522
46,0.61219376,13. portrait-of-the-crew-of-an-airplane-bldcb0408cpb_0308-5988ebf39abed500107b910f_4.jpg,348,327
47,0.078439206,130. c-1509249424-461538254_0.jpg,169,150
48,0.5195259,131. 15782_0.jpg,123,103
49,0.34889096,134. dv2073208_0.jpg,170,150
50,0.07525148,135. 02-13-things-your-flight-attendant-wont-tell-you-rude-passengers_0.jpg,235,215
51,0.9967638,137. fcn-poster-p-2-american-airlines-has-just-solved-one-customer-service-problem_0.jpg,188,167
52,0.52931845,139. 630x355._0.jpg,116,96
53,0.29806933,14. https%3a%2f%2fblueprint-api-production.s3.amazonaws.com%2fuploads%2fcard%2fimage%2f317765%2fap_517806094572_0.jpg,209,189
54,0.007627748,14. https%3a%2f%2fblueprint-api-production.s3.amazonaws.com%2fuploads%2fcard%2fimage%2f317765%2fap_517806094572_1.jpg,188,168
55,0.94939995,141. flightattendant_cabin_0.jpg,347,328
56,0.49422526,142. beautiful-young-flight-attendant-standing-at-the-aircraft-door_0.jpg,170,149
57,0.82645214,143. british-airways-resolves-flight-attendant-pay-dispute_0.jpg,116,96
58,0.57518876,143. british-airways-resolves-flight-attendant-pay-dispute_1.jpg,116,96
59,0.31667164,145. flight-attendant-secrets-903949_0.jpg,170,149
60,0.98448706,146. fa%20career%20page_individual%20fa%202_0.jpg,235,215
61,0.30944932,147. cabin-crew-31-1515709209_0.jpg,132,112
62,0.016970951,148. 170202-new-trainers-rhk_19fbe835e066303aeb7534989c1c3ca7.fit-760w_0.jpg,123,103
63,0.3056314,148. 170202-new-trainers-rhk_19fbe835e066303aeb7534989c1c3ca7.fit-760w_1.jpg,100,96
64,0.7644197,148. 170202-new-trainers-rhk_19fbe835e066303aeb7534989c1c3ca7.fit-760w_2.jpg,108,96
65,0.24431364,148. 170202-new-trainers-rhk_19fbe835e066303aeb7534989c1c3ca7.fit-760w_3.jpg,116,96
66,0.63130975,148. 170202-new-trainers-rhk_19fbe835e066303aeb7534989c1c3ca7.fit-760w_4.jpg,116,96
67,0.7021719,148. 170202-new-trainers-rhk_19fbe835e066303aeb7534989c1c3ca7.fit-760w_5.jpg,116,96
68,0.4952314,148. 170202-new-trainers-rhk_19fbe835e066303aeb7534989c1c3ca7.fit-760w_6.jpg,114,103
69,0.3351388,148. 170202-new-trainers-rhk_19fbe835e066303aeb7534989c1c3ca7.fit-760w_7.jpg,116,96
70,0.6217576,149. stay-hydrated-while-flying_0.jpg,142,123
71,0.90876466,150. flightattendant_0.jpg,170,149
72,0.232252,153. flight-attendant-hat-and-airline-uniforms-sets_0.jpg,104,104
73,0.9503702,154. 587ff77ff10a9a283f8b6504-750_0.jpg,142,122
74,0.6404243,154. 587ff77ff10a9a283f8b6504-750_1.jpg,142,123
75,0.9905616,155. 8835761_web1_flightattendant15_0.jpg,169,149
76,0.9861738,155. 8835761_web1_flightattendant15_1.jpg,188,167
77,0.6132659,155. 8835761_web1_flightattendant15_2.jpg,169,149
78,0.37846497,156. 3c7d9ede00000578-4155576-image-m-40_1485343786571_0.jpg,235,214
79,0.16048607,157. question-3-57952caa3df78c1734dc8ac0_0.jpg,209,189
80,0.006724744,158. curso-azafatas-vuelo_0.jpg,142,123
81,0.3374861,159. flight-attendant-training-20151006_1074km_0.jpg,155,135
82,0.23510805,159. flight-attendant-training-20151006_1074km_1.jpg,114,111
83,0.98367995,16. 563cde756f74facb3e9d9290_fashion-uniforms-china-eastern_0.jpg,235,215
84,0.7572339,16. 563cde756f74facb3e9d9290_fashion-uniforms-china-eastern_1.jpg,235,214
85,0.8952341,16. 563cde756f74facb3e9d9290_fashion-uniforms-china-eastern_2.jpg,235,215
86,0.790625,16. 563cde756f74facb3e9d9290_fashion-uniforms-china-eastern_3.jpg,234,215
87,0.9809043,160. friendly-skies-flight-attendant-costume_0.jpg,123,103
88,0.49584848,161. 5967d6312e50633b008b466a-750-562_0.jpg,155,135
89,0.9978716,162. p036ylrg_0.jpg,142,122
90,0.91354495,163. maxresdefault_0.jpg,265,245
91,0.99875796,163. maxresdefault_1.jpg,266,246
92,0.15295869,164. 548237c53e921_-_flight-attendant-confessions-1011-1-xl_0.jpg,170,149
93,0.13416259,164. 548237c53e921_-_flight-attendant-confessions-1011-1-xl_1.jpg,95,104
94,0.42594284,165. chocotravel-new-hed-2017_0.jpg,235,215
95,0.467163,166. airlines_0.jpg,123,104
